year,Crash Month,dayweek,co_char,roadclass,weather,lightcond,numfatal,intersectiontype,wk_zone,spdlim,hitrun_inv,dralc_inv,aid_inv,did_inv,id_inv,impnm_inv,nmalc_inv,ainm_inv,dinm_inv,speed_inv,unlic_inv,drowsy_inv,dr1517_inv,dr1820_inv,dr1520_inv,dr2124_inv,dr1524_inv,dr65_inv,dr70_inv,dr75_inv,wrongway,oppdir
2022,3,Wednesday,Clark,County road,10,1,1,1,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2022,1,Monday,San Juan,County road,10,2,1,1,0,25,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Tuesday,Walla Walla,US highway,1,2,1,1,0,60,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,3,Sunday,Snohomish,State route,1,1,1,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
2022,3,Monday,Pierce,County road,1,1,1,1,0,40,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2022,3,Saturday,Snohomish,Interstate,1,4,1,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
2022,3,Wednesday,Pierce,State route,1,3,1,2,0,35,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,3,Monday,King,City street,2,3,1,1,0,35,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,3,Friday,Cowlitz,State route,10,1,1,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Friday,Cowlitz,Other,1,1,1,1,0,98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Friday,Okanogan,US highway,1,2,1,1,0,60,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Thursday,Douglas,US highway,1,1,1,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
2022,3,Tuesday,Yakima,Interstate,1,2,1,1,0,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Sunday,Snohomish,City street,2,5,1,2,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
2022,3,Monday,Snohomish,City street,1,3,1,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2022,3,Saturday,King,Interstate,2,3,1,1,0,60,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,3,Sunday,King,Interstate,1,1,1,1,0,60,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2022,3,Monday,Snohomish,State route,1,1,1,1,0,55,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,3,Friday,King,Interstate,1,1,1,1,0,60,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Thursday,Pierce,City street,1,1,1,1,0,40,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2022,3,Friday,Pierce,State route,1,6,1,3,0,45,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2022,3,Saturday,King,County road,2,1,1,1,0,50,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Friday,Pierce,Interstate,10,1,1,1,0,60,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0
2022,3,Saturday,Whitman,State route,1,1,1,1,0,50,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
2022,3,Monday,King,State route,1,5,1,1,0,55,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,3,Sunday,Pierce,City street,1,5,1,2,0,30,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2022,3,Sunday,Clallam,County road,1,1,1,1,0,98,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
2022,3,Tuesday,Skagit,State route,1,2,1,1,0,50,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Tuesday,Yakima,County road,1,1,2,2,0,50,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,3,Friday,Yakima,Interstate,1,2,2,1,0,70,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0
2022,3,Sunday,King,Interstate,2,1,1,1,0,60,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Friday,Cowlitz,County road,1,1,1,1,0,20,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
2022,3,Friday,Clark,Interstate,10,2,1,1,0,70,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,4,Saturday,Pierce,State route,1,1,1,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,4,Friday,Yakima,City street,1,3,1,3,0,35,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Friday,Grant,State route,1,2,1,3,0,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Sunday,Yakima,City street,1,1,2,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0
2022,4,Monday,King,County road,2,2,1,1,0,40,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
